,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
2,2020-05-03-2020-05-10,UCVTyTA7-g9nopHeHbeuvpRA,HMCQwgHMXHw,Trump's Fox News Coronavirus Town Hall: A Closer Look,2020-05-05T03:30:04Z,2471599,39333.0,1390.0,6798.0,790,Late Night with Seth Meyers,3840000,US,https://www.youtube.com/watch?v=HMCQwgHMXHw,1.0,2.0,7.1,3.0,3.0,1.0,6.0,1.0,1.0,1.3,,,0.0,18,,Politics and Blame,Entertainment news,Not prevention
3,2020-05-03-2020-05-10,UCMSsLqxqvZsNXi0Z-VjN89A,KzKvIYwqQkE,What Doctors Are Learning From Autopsy Findings of New Coronavirus Patients | COVID-19,2020-05-06T16:15:00Z,2454202,48238.0,3427.0,11374.0,784,Doctor Mike Hansen,380000,US,https://www.youtube.com/watch?v=KzKvIYwqQkE,1.0,7.0,1.0,0.0,1.0,1.0,3.0,9.0,7.0,1.1,,,0.0,18,,Virus information,Educational/YouTubers-professionals,Not prevention
4,2020-05-03-2020-05-10,UCeY0bbntWzzVIaj2z3QigXg,52AgZpuDncY,Obama Criticizes Trump Administration&#39;s Coronavirus Response As Chaotic Disaster | NBC Nightly News,2020-05-09T23:31:33Z,2319942,20381.0,16409.0,22490.0,135,NBC News,3760000,US,https://www.youtube.com/watch?v=52AgZpuDncY,1.0,1.0,7.1,4.2,3.0,1.0,6.0,1.0,1.0,1.1,,,0.0,18,,Politics and Blame,Straight news,Not prevention
5,2020-05-03-2020-05-10,UCMtFAi84ehTSYSE9XoHefig,Hu7esCRXPGg,Trump&#39;s Valet Tests Positive For Covid-19 As His Campaign Prepares To Deploy Their &quot;Death Star&quot;,2020-05-08T03:50:00Z,2210323,33878.0,966.0,5297.0,752,The Late Show with Stephen Colbert,7770000,US,https://www.youtube.com/watch?v=Hu7esCRXPGg,1.0,2.0,7.1,4.2,3.0,1.0,6.0,1.0,1.0,1.3,,,0.0,18,,Politics and Blame,Entertainment news,Not prevention
6,2020-05-03-2020-05-10,UCVTyTA7-g9nopHeHbeuvpRA,8ZB7dijpF20,Trump's New Coronavirus Strategy Is &quot;Live and Let Die&quot;: A Closer Look,2020-05-07T03:30:01Z,1940781,34371.0,1038.0,7194.0,733,Late Night with Seth Meyers,3840000,US,https://www.youtube.com/watch?v=8ZB7dijpF20,1.0,2.0,7.1,6.0,3.0,1.0,6.0,1.0,1.0,1.3,,,0.0,18,,Politics and Blame,Entertainment news,Not prevention
7,2020-05-03-2020-05-10,UCVSNOxehfALut52NbkfRBaA,Ji47WRv2tQE,Philippines Cremate Coronavirus Victims,2020-05-03T20:34:08Z,1314353,2762.0,724.0,199.0,55,VOA News,1320000,US,https://www.youtube.com/watch?v=Ji47WRv2tQE,1.0,1.0,4.5,0.0,1.0,9.0,7.0,9.0,7.0,1.3,,"no words, just video of covid-patients being incinerated",0.0,18,,Prevention and Action,Straight news,Other prevention
8,2020-05-03-2020-05-10,UCiamy6DLsjIeCgfz8TLXg9Q,P8yzICVWzYI,DAY IN THE LIFE OF A DOCTOR: CORONAVIRUS PANDEMIC NIGHT SHIFT,2020-05-09T16:00:25Z,1309198,36782.0,572.0,3453.0,720,Violin MD,712000,CA,https://www.youtube.com/watch?v=P8yzICVWzYI,1.0,7.0,9.0,3.0,1.0,1.0,3.0,9.0,7.0,1.1,,,0.0,18,,Human Interest,Educational/YouTubers-professionals,Not prevention
10,2020-05-03-2020-05-10,UC9RM-iSvTu1uPJb8X5yp3EQ,r2oPk20OHBE,Air Cargo&#39;s Coronavirus Problem,2020-05-05T16:56:29Z,1112500,31056.0,697.0,1489.0,773,Wendover Productions,2680000,GB,https://www.youtube.com/watch?v=r2oPk20OHBE,1.0,8.0,6.0,0.0,3.0,9.0,7.0,9.0,7.0,1.1,,,1.0,18,,Economy,YouTubers-laypersons/channels,Not prevention
11,2020-05-03-2020-05-10,UCphTF9wHwhCt-BzIq-s4V-g,oSHXOlnmNXI,What Happens If You Were Hospitalized With COVID-19?,2020-05-05T17:12:49Z,1113917,18186.0,401.0,1905.0,707,What If,4240000,CA,https://www.youtube.com/watch?v=oSHXOlnmNXI,1.0,8.0,3.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,18,,Treatment,YouTubers-laypersons/channels,Not prevention
12,2020-05-03-2020-05-10,UCE7GmAYeBVgqDItdX2ihuHQ,k4ue32JdVsk,My Tiny House &quot;DAY IN THE LIFE&quot; During Coronavirus Lockdown,2020-05-08T21:33:47Z,1109216,29968.0,554.0,1358.0,850,Tiny House Giant Journey,754000,US,https://www.youtube.com/watch?v=k4ue32JdVsk,1.0,8.0,9.0,0.0,1.0,1.0,5.0,9.0,7.0,1.1,,not really about covid,1.0,18,,Human Interest,YouTubers-laypersons/channels,Not prevention
